,0
572,54.0
573,54.0
574,54.0
575,54.0
576,54.0
577,54.0
578,56.0
579,56.0
580,56.0
581,56.0
582,56.0
583,56.0
584,56.0
585,56.0
586,56.0
587,56.0
588,56.0
589,56.0
590,56.0
591,56.0
592,56.0
593,56.0
594,56.0
595,56.0
596,56.0
597,56.0
598,58.0
599,58.0
600,58.0
601,58.0
602,58.0
603,58.0
604,58.0
605,58.0
606,58.0
607,58.0
608,58.0
609,58.0
610,58.0
611,58.0
612,58.0
613,58.0
614,58.0
615,58.0
616,58.0
617,58.0
618,60.0
619,60.0
620,60.0
621,60.0
622,60.0
623,60.0
624,60.0
625,60.0
626,60.0
627,60.0
628,60.0
629,60.0
630,60.0
631,60.0
632,60.0
633,60.0
634,60.0
635,60.0
636,60.0
637,60.0
638,62.0
639,62.0
640,62.0
641,62.0
642,62.0
643,62.0
644,62.0
645,62.0
646,62.0
647,62.0
648,62.0
649,62.0
650,62.0
651,62.0
652,62.0
653,62.0
654,62.0
655,62.0
656,62.0
657,62.0
658,64.0
659,64.0
660,64.0
661,64.0
662,64.0
663,64.0
664,64.0
665,64.0
666,64.0
667,64.0
668,64.0
669,64.0
670,64.0
671,64.0
672,64.0
673,64.0
674,64.0
675,64.0
676,64.0
677,64.0
678,66.0
679,66.0
680,66.0
681,66.0
682,66.0
683,66.0
684,66.0
685,66.0
686,66.0
687,66.0
688,66.0
689,66.0
690,66.0
691,66.0
692,66.0
693,66.0
694,66.0
695,66.0
696,66.0
697,66.0
698,68.0
699,68.0
700,68.0
701,68.0
702,68.0
703,68.0
704,68.0
705,68.0
706,68.0
707,68.0
708,68.0
709,68.0
710,68.0
711,68.0
712,68.0
713,68.0
714,68.0
715,68.0
716,68.0
717,68.0
718,70.0
719,70.0
720,70.0
721,70.0
722,70.0
723,70.0
724,70.0
725,70.0
726,70.0
727,70.0
728,70.0
729,70.0
730,70.0
731,70.0
732,70.0
733,70.0
734,70.0
735,70.0
736,70.0
737,70.0
738,72.0
739,72.0
740,72.0
741,72.0
742,72.0
743,72.0
744,72.0
745,72.0
746,72.0
747,72.0
748,72.0
749,72.0
750,72.0
751,72.0
752,72.0
753,72.0
754,72.0
755,72.0
756,72.0
757,72.0
758,74.0
759,74.0
760,74.0
761,74.0
762,74.0
763,74.0
764,74.0
765,74.0
766,74.0
767,74.0
768,74.0
769,74.0
770,74.0
771,74.0
772,74.0
773,74.0
774,74.0
775,74.0
776,74.0
777,74.0
778,76.0
779,76.0
780,76.0
781,76.0
782,76.0
783,76.0
784,76.0
785,76.0
786,76.0
787,76.0
788,76.0
789,76.0
790,76.0
791,76.0
792,76.0
793,76.0
794,76.0
795,76.0
796,76.0
797,76.0
798,78.0
799,78.0
800,78.0
801,78.0
802,78.0
803,78.0
804,78.0
805,78.0
806,78.0
807,78.0
808,78.0
809,78.0
810,78.0
811,78.0
812,78.0
813,78.0
814,78.0
815,78.0
816,78.0
817,78.0
818,80.0
819,80.0
820,80.0
821,80.0
822,80.0
823,80.0
824,80.0
825,80.0
826,80.0
827,80.0
828,80.0
829,80.0
830,80.0
831,80.0
832,80.0
833,80.0
834,80.0
835,80.0
836,80.0
837,80.0
838,82.0
839,82.0
840,82.0
841,82.0
842,82.0
843,82.0
844,82.0
845,82.0
846,82.0
847,82.0
848,82.0
849,82.0
850,82.0
851,82.0
852,82.0
853,82.0
854,82.0
855,82.0
856,82.0
857,82.0
858,84.0
859,84.0
860,84.0
861,84.0
862,84.0
863,84.0
864,84.0
865,84.0
866,84.0
867,84.0
868,84.0
869,84.0
870,84.0
871,84.0
872,84.0
873,84.0
874,84.0
875,84.0
876,84.0
877,84.0
878,86.0
879,86.0
880,86.0
881,86.0
882,86.0
883,86.0
884,86.0
885,86.0
886,86.0
887,86.0
888,86.0
889,86.0
890,86.0
891,86.0
892,86.0
893,86.0
894,86.0
895,86.0
896,86.0
897,86.0
898,88.0
899,88.0
900,88.0
901,88.0
902,88.0
903,88.0
904,88.0
905,88.0
906,88.0
907,88.0
908,88.0
909,88.0
910,88.0
911,88.0
912,88.0
913,88.0
914,88.0
915,88.0
916,88.0
917,88.0
918,90.0
919,90.0
920,90.0
921,90.0
922,90.0
923,90.0
924,90.0
925,90.0
926,90.0
927,90.0
928,90.0
929,90.0
930,90.0
931,90.0
932,90.0
933,90.0
934,90.0
935,90.0
936,90.0
937,90.0
938,92.0
939,92.0
940,92.0
941,92.0
942,92.0
943,92.0
944,92.0
945,92.0
946,92.0
947,92.0
948,92.0
949,92.0
950,92.0
951,92.0
952,92.0
953,92.0
954,92.0
955,92.0
956,92.0
957,92.0
958,94.0
959,94.0
960,94.0
961,94.0
962,94.0
963,94.0
964,94.0
965,94.0
966,94.0
967,94.0
968,94.0
969,94.0
970,94.0
971,94.0
972,94.0
973,94.0
974,94.0
975,94.0
976,94.0
977,94.0
978,96.0
979,96.0
980,96.0
981,96.0
982,96.0
983,96.0
984,96.0
985,96.0
986,96.0
987,96.0
988,96.0
989,96.0
990,96.0
991,96.0
992,96.0
993,96.0
994,96.0
995,96.0
996,96.0
997,96.0
998,98.0
999,98.0
